Date,Mileage,Miles,Gallons,MPG,Month,Year
11/27/2018,42722,,,,November,2018
12/01/2018,42927,,,,December,2018
12/14/2018,43226,298,9.477,32.2,December,2018
12/23/2018,43495,,,34.2,December,2018
1/3/2019,43802,306,10.94,34.2,January,2019
1/18/2019,44132,329,9.02,31.5,January,2019
1/27/2019,44351,219,7.203,29.7,January,2019
2/11/2019,44620,269,9.416,,February,2019
2/26/2019,44911,290,11.68,30.1,February,2019
3/12/2019,45254,342,9.466,30.7,March,2019
3/20/2019,45584,330,10.115,34.3,March,2019
3/30/2019,45928,,,,March,2019
4/6/2019,46260,331,10.72,33.5,April,2019
4/19/2012,46604,344,9.849,32.8,April,2019
4/25/2019,46758,153,4.210,34.4,April,2019
4/27/2019,47114,356,10.745,35.9,April,2019
4/27/2019,47488,373,10.48,34.2,April,2019
5/9/2019,47815,326,10.13,32.5,May,2019
5/27/2019,48149,334,10.15,34.8,May,2019
6/15/2019,48527,370,11.929,35.8,June,2019
6/30/2019,48883,355,10.803,32.4,June,2019
8/24/2019,49284,401,11.378,37.7,August,2019
9/12/2019,49645,361,9.016,36.4,September,2019
9/21/2019,49988,342,9.731,,September,2019
10/2/2019,50339,351,10.19,35.2,October,2019
10/5/2019,50633,293,9.769,32.8,October,2019
10/13/2019,50967,334,10.25,31.8,October,2019
10/23/2019,51316,348,10.65,34.7,October,2019
11/7/2019,51951,326,9.774,33.3,November,2019
11/16/2019,52248,296,10.029,31.7,November,2019
11/26/2019,52576,328,9.675,32.3,November,2019
12/3/2019,52897,320,11.109,33,December,2019
12/12/2019,53271,374,10.123,33,December,2019
12/18/2019,53566,294,9.926,30.4,December,2019
1/1/2020,53838,272,8.604,31.4,January,2020
1/9/2020,54151,313,9.658,33.4,January,2020
1/15/2020,54394,242,8.996,,January,2020
1/27/2020,54738,344,9.823,,January,2020
2/14/2020,55380,315,9.586,30.4,February,2020
2/26/2020,55699,318,10.532,31.4,February,2020
3/4/2020,56040,340,10.252,32.4,March,2020
3/13/2020,56362,321,10.44,,March,2020
3/23/2020,56608,246,6.943,,March,2020
4/7/2020,56911,302,9.531,,April,2020
5/6/2020,57569,331,9.305,35.8,May,2020
5/22/2020,57825,255,7.753,34.4,May,2020
5/28/2020,58188,363,11.116,,May,2020
6/10/202,58473,384,9.958,,June,2020
6/23/2020,58937,364,9.592,39.9,June,2020
7/10/2020,59309,372,10.872,39.4,July,2020
7/25/2020,59715,405,10.378,,July,2020
8/11/2020,60126,410,9.793,40.4,August,2020
8/23/2020,60528,402,11.856,40.5,August,2020
9/27/2020,60966,438,10.176,38.5,September,2020
10/4/2020,61326,359,10.124,36.8,October,2020
10/18/2020,61670,331,10.299,35.6,October,2020
10/31/2020,61999,329,10.017,32.0,October,2020
11/11/2020,62350,351,9.846,36.2,November,2020
11/22/2020,62678,327,10.935,,November,2020
11/28/2020,63026,348,10.66,,November,2020
12/8/2020,63400,373,11.856,34.5,December,2020
12/19/2020,63793,393,10.119,33.2,December,2020
12/28/2020,64122,328,9.632,33.5,December,2020
1/12/2021,64441,318,9.981,32.6,January,2021
1/22/2021,64748,307,10.181,31.3,January,2021
2/3/2021,65047,298,9.998,30.4,February,2021
2/21/2021,65504,270,10.089,,February,2021
3/3/2021,65824,320,10.168,,March,2021
3/10/2021,66174,350,11.316,,March,2021
3/16/2021,66548,373,10.004,,March,2021
3/23/2021,66888,339,9.606,,March,2021
4/6/2021,67202,314,12.197,32.3,April,2021
4/15/2021,67578,376,9.696,33.1,April,2021
4/23/2021,67912,333,11.107,33.3,April,2021
5/3/2021,68310,398,10.499,36,May,2021
5/10/2021,68678,368,10.539,36.2,May,2021
5/29/2021,69044,366,10.102,36.9,May,2021
7/16/2021,69413,,10.47,,July,2021
8/2/2021,69786,372,11,39.6,August,2021
9/2/2021,70624,838,10.461,,September,2021
9/12/2021,71009,384,11.724,,September,2021
9/15/2021,71426,417,11.458,37.7,September,2021
9/29/2021,71861,434,,37.9,September,2021
10/3/2021,72230,369,10.536,35.3,October,2021
10/9/2021,72589,359,10.593,36.9,October,2021
10/16/2021,72979,389,10.925,36.4,October,2021
10/23/2021,73292,313,8.832,35.9,October,2021
10/28/2021,73646,353,10.44,33.8,October,2021
11/05/2021,73949,302,9.049,34.8,November,2021
11/12/2021,74297,348,11.717,34.9,November,2021
11/18/2021,74744,446,10.335,38.5,November,2021
11/29/2021,75054,310,9.700,33.6,November,2021
12/12/2021,75369,,9.064,,December,2021
12/24/2021,75697,328,10.966,32.6,December,2021
1/8/22,76014,317,9.507,31.6,January,2022
1/22/2022,76314,300,10.028,30.4,January,2022
2/7/22,76624,309,9.710,30.4,February,2022
2/18/2022,76915,290,10.24,30.1,February,2022
2/25/2022,77202,286,10.726,28.2,February,2022
3/8/22,77553,350,10.155,32.6,March,2022
3/18/2022,77873,319,10.568,33.0,March,2022
4/1/22,78214,341,9.741,33.0,April,2022
4/13/2022,78541,326,9.653,34.3,April,2022
4/26/2022,78889,348,10.341,34.5,April,2022
5/11/2022,79246,356,10.816,34.6,May,2022
5/13/2022,79428,182,5.797,36.5,May,2022
6/6/22,79821,,,,June,2022
6/25/2022,80242,,12.04,,June,2022
7/6/22,80668,425,10.278,38.3,July,2022
7/24/2022,81055,387,10.539,38.8,July,2022
8/21/2022,81422,244,10.02,,August,2022
8/30/2022,81790,359,9.722,38.9,August,2022
9/12/2022,82138,348,10.81,37.1,September,2022
9/23/2022,82488,350,9.696,37.3,September,2022
9/30/2022,82826,337,10.599,35.4,September,2022
10/14/2022,83186,360,9.915,35.2,October,2022
11/08/2022,83901,381,10.374,33.6,November,2022
11/20/2022,84205,304,10.060,30.8,November,2022
12/06/2022,84493,288,9.425,31.2,December,2022
12/20/2022,84734,240,8.090,30.4,December,2022
1/2/23,85042,308,9.641,31.5,January,2022
1/13/2023,85343,300,10.258,30.4,January,2022
1/24/2023,85640,296,9.742,31,January,2022
2/2/2023,85919,273,9.607,28.9,February,2022
2/12/2023,86288,289,9.644,30.9,February,2022
3/1/23,86524,319,10.246,31.5,March,2022
3/8/23,86778,253,7.443,32.1,March,2022